date,tickersymbol
2017-05-31,DMC
2017-06-01,NVT
2017-06-01,DMC
2017-06-01,KDH
2017-06-02,DMC
2017-06-02,KDH
2017-06-02,NVT
2017-06-05,DMC
2017-06-05,NVT
2017-06-05,RAL
2017-06-06,SLS
2017-06-06,VNE
2017-06-06,NVT
2017-06-07,SLS
2017-06-07,KDH
2017-06-07,NVT
2017-06-08,SLS
2017-06-08,CHP
2017-06-08,DMC
2017-06-09,SLS
2017-06-09,BII
2017-06-09,DMC
2017-06-12,SLS
2017-06-12,TTB
2017-06-12,BII
2017-06-13,SLS
2017-06-13,KDH
2017-06-13,DMC
2017-06-14,SLS
2017-06-14,TTB
2017-06-14,HDC
2017-06-15,HDC
2017-06-15,SLS
2017-06-15,DMC
2017-06-16,SLS
2017-06-16,DMC
2017-06-16,TTB
2017-06-19,DMC
2017-06-19,SLS
2017-06-19,HTI
2017-06-20,DMC
2017-06-20,SLS
2017-06-20,HTI
2017-06-21,DMC
2017-06-21,SLS
2017-06-21,PPC
2017-06-22,NVT
2017-06-22,RAL
2017-06-22,SLS
2017-06-23,DMC
2017-06-23,RAL
2017-06-23,CHP
2017-06-26,DMC
2017-06-26,RAL
2017-06-26,CHP
2017-06-27,DMC
2017-06-27,CHP
2017-06-27,NNC
2017-06-28,DMC
2017-06-28,CHP
2017-06-28,VAT
2017-06-29,DMC
2017-06-29,OGC
2017-06-29,CHP
2017-06-30,DMC
2017-06-30,TTB
2017-06-30,CHP
2017-07-03,DMC
2017-07-03,SVT
2017-07-03,CHP
2017-07-04,SVT
2017-07-04,TTB
2017-07-04,CHP
2017-07-05,CHP
2017-07-05,DBD
2017-07-05,DMC
2017-07-06,CHP
2017-07-06,DMC
2017-07-06,TTB
2017-07-07,DMC
2017-07-07,CHP
2017-07-07,DBD
2017-07-10,DMC
2017-07-10,CHP
2017-07-10,DBD
2017-07-11,DMC
2017-07-11,TTB
2017-07-11,DBD
2017-07-12,CHP
2017-07-12,TTB
2017-07-12,DBD
2017-07-13,CHP
2017-07-13,TTB
2017-07-13,KDH
2017-07-14,DMC
2017-07-14,CHP
2017-07-14,NTC
2017-07-17,CHP
2017-07-17,DBD
2017-07-17,RAL
2017-07-18,CHP
2017-07-18,DMC
2017-07-18,DBD
2017-07-19,CHP
2017-07-19,DBD
2017-07-19,DMC
2017-07-20,DBD
2017-07-20,CHP
2017-07-20,DMC
2017-07-21,CHP
2017-07-21,IMP
2017-07-21,SPI
2017-07-24,SPI
2017-07-24,DBD
2017-07-24,CHP
2017-07-25,DBD
2017-07-25,CHP
2017-07-25,NHA
2017-07-26,DBD
2017-07-26,NTC
2017-07-26,CSV
2017-07-27,DBD
2017-07-27,CSV
2017-07-27,VSH
2017-07-28,DBD
2017-07-28,CSV
2017-07-28,NTC
2017-07-31,DBD
2017-07-31,CSV
2017-07-31,TTB
2017-08-01,VSH
2017-08-01,DBD
2017-08-01,DCL
2017-08-02,DBD
2017-08-02,FCM
2017-08-02,NHA
2017-08-03,FCM
2017-08-03,DBD
2017-08-03,TTH
2017-08-04,DBD
2017-08-04,IJC
2017-08-04,TTH
2017-08-07,C47
2017-08-07,DBD
2017-08-07,TTH
2017-08-08,DBD
2017-08-08,APC
2017-08-08,FCM
2017-08-09,APC
2017-08-09,DBD
2017-08-09,FCM
2017-08-10,APC
2017-08-10,DBD
2017-08-10,PVV
2017-08-11,C47
2017-08-11,DBD
2017-08-11,FCM
2017-08-14,C47
2017-08-14,DBD
2017-08-14,PVV
2017-08-15,C47
2017-08-15,DBD
2017-08-15,IDV
2017-08-16,NAG
2017-08-16,DBD
2017-08-16,IDV
2017-08-17,NAG
2017-08-17,IDV
2017-08-17,NTC
2017-08-18,NAG
2017-08-18,NTC
2017-08-18,C21
2017-08-21,LAS
2017-08-21,NAG
2017-08-21,NTC
2017-08-22,NAG
2017-08-22,IDV
2017-08-22,NTC
2017-08-23,IDV
2017-08-23,APC
2017-08-23,NTC
2017-08-24,ACV
2017-08-24,NTC
2017-08-24,APC
2017-08-25,NTC
2017-08-25,APC
2017-08-25,IDV
2017-08-28,IDV
2017-08-28,NTC
2017-08-28,DBD
2017-08-29,IDV
2017-08-29,L14
2017-08-29,DBD
2017-08-30,IDV
2017-08-30,L14
2017-08-30,APC
2017-08-31,DBD
2017-08-31,IDV
2017-08-31,APC
2017-09-01,IDV
2017-09-01,NTC
2017-09-01,APC
2017-09-05,APC
2017-09-05,IDV
2017-09-05,NTC
2017-09-06,IDV
2017-09-06,APC
2017-09-06,DBD
2017-09-07,NTC
2017-09-07,TTH
2017-09-07,DBD
2017-09-08,NTC
2017-09-08,ACV
2017-09-08,DBD
2017-09-11,DBD
2017-09-11,ACV
2017-09-11,SPI
2017-09-12,ACV
2017-09-12,IDV
2017-09-12,SPI
2017-09-13,PGS
2017-09-13,ACV
2017-09-13,SPI
2017-09-14,PGS
2017-09-14,SPI
2017-09-14,BHN
2017-09-15,APC
2017-09-15,TCD
2017-09-15,ACV
2017-09-18,APC
2017-09-18,HOT
2017-09-18,PGS
2017-09-19,D2D
2017-09-19,PGS
2017-09-19,THG
2017-09-20,NTC
2017-09-20,D2D
2017-09-20,PGS
2017-09-21,NTC
2017-09-21,BHN
2017-09-21,PGS
2017-09-22,NTC
2017-09-22,PGS
2017-09-22,ACV
2017-09-25,ACV
2017-09-25,NTC
2017-09-25,BHN
2017-09-26,BHN
2017-09-26,NTC
2017-09-26,D2D
2017-09-27,APC
2017-09-27,D2D
2017-09-27,BHN
2017-09-28,BHN
2017-09-28,HOT
2017-09-28,NTC
2017-09-29,D2D
2017-09-29,HOT
2017-09-29,PGS
2017-10-02,APC
2017-10-02,D2D
2017-10-02,HOT
2017-10-03,APC
2017-10-03,HOT
2017-10-03,D2D
2017-10-04,APC
2017-10-04,D2D
2017-10-04,HOT
2017-10-05,HOT
2017-10-05,NTC
2017-10-05,NTP
2017-10-06,ACV
2017-10-06,HOT
2017-10-06,NTC
2017-10-09,ACV
2017-10-09,HOT
2017-10-09,SBV
2017-10-10,ACV
2017-10-10,PGS
2017-10-10,HOT
2017-10-11,BHN
2017-10-11,PGS
2017-10-11,HOT
2017-10-12,BHN
2017-10-12,PGS
2017-10-12,HOT
2017-10-13,ACV
2017-10-13,BHN
2017-10-13,SBV
2017-10-16,SBV
2017-10-16,NTC
2017-10-16,BHN
2017-10-17,SCS
2017-10-17,EVE
2017-10-17,NTC
2017-10-18,SCS
2017-10-18,NTC
2017-10-18,EVE
2017-10-19,SCS
2017-10-19,APC
2017-10-19,NTC
2017-10-20,APC
2017-10-20,SCS
2017-10-20,SBV
2017-10-23,SCS
2017-10-23,SJD
2017-10-23,NTP
2017-10-24,ACV
2017-10-24,SJD
2017-10-24,NTP
2017-10-25,SJD
2017-10-25,D2D
2017-10-25,NTP
2017-10-26,SJD
2017-10-26,D2D
2017-10-26,SBV
2017-10-27,ACV
2017-10-27,SJD
2017-10-27,D2D
2017-10-30,ACV
2017-10-30,D2D
2017-10-30,SBV
2017-10-31,ACV
2017-10-31,NCT
2017-10-31,D2D
2017-11-01,ACV
2017-11-01,TDG
2017-11-01,TV2
2017-11-02,TV2
2017-11-02,ACV
2017-11-02,NCT
2017-11-03,SCS
2017-11-03,ACV
2017-11-03,TV2
2017-11-06,SCS
2017-11-06,ACV
2017-11-06,CMG
2017-11-07,CMG
2017-11-07,TV2
2017-11-07,NCT
2017-11-08,ACV
2017-11-08,D2D
2017-11-08,NCT
2017-11-09,ACV
2017-11-09,D2D
2017-11-09,TV2
2017-11-10,ACV
2017-11-10,TV2
2017-11-10,CHP
2017-11-13,CMG
2017-11-13,D2D
2017-11-13,RAL
2017-11-14,DS3
2017-11-14,NTP
2017-11-14,D2D
2017-11-15,CHP
2017-11-15,D2D
2017-11-15,DS3
2017-11-16,NTP
2017-11-16,D2D
2017-11-16,CHP
2017-11-17,NTP
2017-11-17,D2D
2017-11-17,SSC
2017-11-20,CMG
2017-11-20,NCT
2017-11-20,NTP
2017-11-21,KDH
2017-11-21,NTP
2017-11-21,D2D
2017-11-22,NTP
2017-11-22,D2D
2017-11-22,DBD
2017-11-23,DBD
2017-11-23,D2D
2017-11-23,NTP
2017-11-24,NCT
2017-11-24,D2D
2017-11-24,NTP
2017-11-27,NCT
2017-11-27,NTP
2017-11-27,BHN
2017-11-28,NCT
2017-11-28,NTP
2017-11-28,D2D
2017-11-29,NTP
2017-11-29,D2D
2017-11-29,DBD
2017-11-30,NTP
2017-11-30,BHN
2017-11-30,NTC
2017-12-01,BHN
2017-12-01,D2D
2017-12-01,MCH
2017-12-04,SCS
2017-12-04,D2D
2017-12-04,MCH
2017-12-05,SCS
2017-12-05,D2D
2017-12-05,NCT
2017-12-06,SCS
2017-12-06,D2D
2017-12-06,NCT
2017-12-07,SCS
2017-12-07,D2D
2017-12-07,MCH
2017-12-08,SCS
2017-12-08,MCH
2017-12-08,D2D
2017-12-11,MCH
2017-12-11,SCS
2017-12-11,D2D
2017-12-12,MCH
2017-12-12,SCS
2017-12-12,NCT
2017-12-13,MCH
2017-12-13,SCS
2017-12-13,NCT
2017-12-14,NCT
2017-12-14,SCS
2017-12-14,NTC
2017-12-15,NCT
2017-12-15,NTC
2017-12-15,SCS
2017-12-18,NCT
2017-12-18,CSV
2017-12-18,SCS
2017-12-19,MCH
2017-12-19,NCT
2017-12-19,NDN
2017-12-20,NCT
2017-12-20,NDN
2017-12-20,SCS
2017-12-21,MCH
2017-12-21,NCT
2017-12-21,NDN
2017-12-22,MCH
2017-12-22,NCT
2017-12-22,NDN
2017-12-25,MCH
2017-12-25,SSN
2017-12-25,APC
2017-12-26,MCH
2017-12-26,VTO
2017-12-26,APC
2017-12-27,MCH
2017-12-27,APC
2017-12-27,NCT
2017-12-28,VTO
2017-12-28,APC
2017-12-28,NCT
2017-12-29,SCS
2017-12-29,PXS
2017-12-29,NCT
2018-01-02,SCS
2018-01-02,NCT
2018-01-02,VTO
2018-01-03,NTC
2018-01-03,SCS
