date,tickersymbol
2017-04-28,RAL
2017-04-28,DHT
2017-04-28,KDH
2017-05-03,KDH
2017-05-03,PGD
2017-05-03,TV2
2017-05-04,KDH
2017-05-04,PGD
2017-05-04,HAX
2017-05-05,KDH
2017-05-05,RAL
2017-05-05,PGD
2017-05-08,KDH
2017-05-08,RAL
2017-05-08,PGD
2017-05-09,HDC
2017-05-09,PGD
2017-05-09,PHC
2017-05-10,PGD
2017-05-10,PHC
2017-05-10,RAL
2017-05-11,PHC
2017-05-11,RAL
2017-05-11,HAX
2017-05-12,PGD
2017-05-12,PHC
2017-05-12,QBS
2017-05-15,PPC
2017-05-15,QBS
2017-05-15,HAX
2017-05-16,QBS
2017-05-16,PPC
2017-05-16,SHA
2017-05-17,PPC
2017-05-17,HDC
2017-05-17,HAX
2017-05-18,DHT
2017-05-18,PPC
2017-05-18,QBS
2017-05-19,DHT
2017-05-19,QBS
2017-05-19,PGD
2017-05-22,PGD
2017-05-22,HAX
2017-05-22,VSH
2017-05-23,PGD
2017-05-23,HAX
2017-05-23,KDH
2017-05-24,PGD
2017-05-24,PPC
2017-05-24,HAX
2017-05-25,PGD
2017-05-25,HAX
2017-05-25,DMC
2017-05-26,DMC
2017-05-26,PHC
2017-05-26,HAX
2017-05-29,DMC
2017-05-29,HAX
2017-05-29,PGD
2017-05-30,PGD
2017-05-30,PHC
2017-05-30,KDH
2017-05-31,PGD
2017-05-31,HAX
2017-05-31,KDH
2017-06-01,PGD
2017-06-01,DMC
2017-06-01,KDH
2017-06-02,PGD
2017-06-02,PHC
2017-06-02,DMC
2017-06-05,PHC
2017-06-05,DMC
2017-06-05,RAL
2017-06-06,SLS
2017-06-06,PGD
2017-06-06,PHC
2017-06-07,SLS
2017-06-07,PGD
2017-06-07,KDH
2017-06-08,PGD
2017-06-08,SLS
2017-06-08,PHC
2017-06-09,SLS
2017-06-09,PGD
2017-06-09,DMC
2017-06-12,PGD
2017-06-12,SLS
2017-06-12,KDH
2017-06-13,PGD
2017-06-13,SLS
2017-06-13,KDH
2017-06-14,SLS
2017-06-14,HDC
2017-06-14,DMC
2017-06-15,HDC
2017-06-15,SLS
2017-06-15,DMC
2017-06-16,PGD
2017-06-16,SLS
2017-06-16,DMC
2017-06-19,DMC
2017-06-19,SLS
2017-06-19,HTI
2017-06-20,DMC
2017-06-20,SLS
2017-06-20,HTI
2017-06-21,DMC
2017-06-21,PGD
2017-06-21,SLS
2017-06-22,PGD
2017-06-22,RAL
2017-06-22,SLS
2017-06-23,DMC
2017-06-23,PGD
2017-06-23,RAL
2017-06-26,PGD
2017-06-26,DMC
2017-06-26,CTP
2017-06-27,CTP
2017-06-27,DMC
2017-06-27,PGD
2017-06-28,PGD
2017-06-28,DMC
2017-06-28,CHP
2017-06-29,CTP
2017-06-29,DMC
2017-06-29,PGD
2017-06-30,DMC
2017-06-30,PGD
2017-06-30,CHP
2017-07-03,DMC
2017-07-03,CHP
2017-07-03,PGD
2017-07-04,PGD
