date,tickersymbol
2017-05-31,AMD
2017-05-31,IDI
2017-06-01,PGD
2017-06-01,IDI
2017-06-01,DMC
2017-06-02,PGD
2017-06-02,DMC
2017-06-02,IDI
2017-06-05,IDI
2017-06-05,DMC
2017-06-05,ATS
2017-06-06,KSH
2017-06-06,SLS
2017-06-06,IDI
2017-06-07,SLS
2017-06-07,PGD
2017-06-07,DL1
2017-06-08,IDI
2017-06-08,PGD
2017-06-08,SLS
2017-06-09,SLS
2017-06-09,KSH
2017-06-09,PGD
2017-06-12,DL1
2017-06-12,TNT
2017-06-12,IDI
2017-06-13,IDI
2017-06-13,PGD
2017-06-13,ATS
2017-06-14,ATS
2017-06-14,SLS
2017-06-14,BCG
2017-06-15,BCG
2017-06-15,SLS
2017-06-15,IDI
2017-06-16,BCG
2017-06-16,PGD
2017-06-16,SLS
2017-06-19,BCG
2017-06-19,DMC
2017-06-19,SLS
2017-06-20,DMC
2017-06-20,SLS
2017-06-20,HTI
2017-06-21,DMC
2017-06-21,PGD
2017-06-21,SLS
2017-06-22,PGD
2017-06-22,BCG
2017-06-22,SLS
2017-06-23,BCG
2017-06-23,DMC
2017-06-23,PGD
2017-06-26,PGD
2017-06-26,DMC
2017-06-26,CTP
2017-06-27,BCG
2017-06-27,CTP
2017-06-27,DMC
2017-06-28,PGD
2017-06-28,DMC
2017-06-28,CHP
2017-06-29,CTP
2017-06-29,DMC
2017-06-29,PGD
2017-06-30,DMC
2017-06-30,PGD
2017-06-30,TSC
2017-07-03,DMC
2017-07-03,SVT
2017-07-03,TSC
2017-07-04,PGD
2017-07-04,SVT
2017-07-04,TTB
2017-07-05,PGD
2017-07-05,CHP
2017-07-05,DBD
2017-07-06,HAR
2017-07-06,NDF
2017-07-06,CHP
2017-07-07,TSC
2017-07-07,ATG
2017-07-07,DMC
2017-07-10,DMC
2017-07-10,PGD
2017-07-10,IDI
2017-07-11,NDF
2017-07-11,DMC
2017-07-11,PGD
2017-07-12,IDI
2017-07-12,TSC
2017-07-12,CHP
2017-07-13,IDI
2017-07-13,CHP
2017-07-13,PGD
2017-07-14,DMC
2017-07-14,CHP
2017-07-14,IDI
2017-07-17,CHP
2017-07-17,IDI
2017-07-17,PGD
2017-07-18,CHP
2017-07-18,DMC
2017-07-18,PGD
2017-07-19,CHP
2017-07-19,DBD
2017-07-19,DMC
2017-07-20,DBD
2017-07-20,CHP
2017-07-20,DMC
2017-07-21,CHP
2017-07-21,IMP
2017-07-21,SPI
2017-07-24,SPI
2017-07-24,DBD
2017-07-24,CHP
2017-07-25,DBD
2017-07-25,PGD
2017-07-25,CHP
2017-07-26,DBD
2017-07-26,NTC
2017-07-26,CSV
2017-07-27,DBD
2017-07-27,CSV
2017-07-27,VSH
2017-07-28,DBD
2017-07-28,CSV
2017-07-28,KVC
2017-07-31,DBD
2017-07-31,CSV
2017-07-31,KVC
2017-08-01,VSH
2017-08-01,DBD
2017-08-01,KVC
2017-08-02,DBD
2017-08-02,HCD
2017-08-02,NHA
2017-08-03,DBD
2017-08-03,HCD
2017-08-03,PVC
2017-08-04,DBD
2017-08-04,PVC
2017-08-04,TTH
2017-08-07,DBD
2017-08-07,PVC
2017-08-07,TTH
2017-08-08,DBD
2017-08-08,APC
2017-08-08,PVC
2017-08-09,APC
2017-08-09,DBD
2017-08-09,KSK
2017-08-10,APC
2017-08-10,DBD
2017-08-10,HID
2017-08-11,DBD
2017-08-11,PVC
2017-08-11,ATG
2017-08-14,DBD
2017-08-14,PVC
2017-08-14,ATG
2017-08-15,DBD
2017-08-15,IDV
2017-08-15,SD9
2017-08-16,DBD
2017-08-16,IDV
2017-08-16,SD9
2017-08-17,ATG
2017-08-17,IDV
2017-08-17,NTC
2017-08-18,NTC
2017-08-18,C21
2017-08-18,IDV
2017-08-21,LAS
2017-08-21,NTC
2017-08-21,C21
2017-08-22,IDV
2017-08-22,MST
2017-08-22,NTC
2017-08-23,IDV
2017-08-23,APC
2017-08-23,NTC
2017-08-24,ACV
2017-08-24,NTC
2017-08-24,APC
2017-08-25,NTC
2017-08-25,APC
2017-08-25,IDV
2017-08-28,IDV
2017-08-28,NTC
2017-08-28,DBD
2017-08-29,IDV
2017-08-29,DBD
2017-08-29,DL1
2017-08-30,IDV
2017-08-30,APC
2017-08-30,DBD
2017-08-31,DBD
2017-08-31,IDV
2017-08-31,APC
2017-09-01,IDV
2017-09-01,NTC
2017-09-01,APC
2017-09-05,APC
2017-09-05,IDV
2017-09-05,NTC
2017-09-06,IDV
2017-09-06,APC
2017-09-06,DBD
2017-09-07,FTM
2017-09-07,NTC
2017-09-07,TTH
2017-09-08,NTC
2017-09-08,ACV
2017-09-08,DBD
2017-09-11,DBD
2017-09-11,ACV
2017-09-11,SPI
2017-09-12,ACV
2017-09-12,IDV
2017-09-12,SPI
2017-09-13,ACV
2017-09-13,SPI
2017-09-13,BHN
2017-09-14,SPI
2017-09-14,BHN
2017-09-14,SD9
2017-09-15,PVB
2017-09-15,APC
2017-09-15,TCD
2017-09-18,APC
2017-09-18,PVB
2017-09-18,ACV
2017-09-19,D2D
2017-09-19,TCD
2017-09-19,SD9
2017-09-20,NTC
2017-09-20,D2D
2017-09-20,PVB
2017-09-21,NTC
2017-09-21,BHN
2017-09-21,ACV
2017-09-22,NTC
2017-09-22,ACV
2017-09-22,BHN
2017-09-25,ACV
2017-09-25,NTC
2017-09-25,BHN
2017-09-26,BHN
2017-09-26,NTC
2017-09-26,D2D
2017-09-27,APC
2017-09-27,D2D
2017-09-27,BHN
2017-09-28,BHN
2017-09-28,NTC
2017-09-28,PVB
2017-09-29,D2D
2017-09-29,NTC
2017-09-29,CSV
2017-10-02,APC
2017-10-02,D2D
2017-10-02,NTC
2017-10-03,APC
2017-10-03,D2D
2017-10-03,PVC
2017-10-04,APC
2017-10-04,D2D
2017-10-04,MST
2017-10-05,MST
2017-10-05,NTC
2017-10-05,PVB
2017-10-06,ACV
2017-10-06,MST
2017-10-06,PVB
2017-10-09,ACV
2017-10-09,SBV
2017-10-09,SHA
2017-10-10,ACV
2017-10-10,PVB
2017-10-10,SBV
2017-10-11,BHN
2017-10-11,PVB
2017-10-11,SBV
2017-10-12,BHN
2017-10-12,PVB
2017-10-12,SBV
2017-10-13,ACV
2017-10-13,SHA
2017-10-13,BHN
2017-10-16,SHA
2017-10-16,PVB
2017-10-16,SBV
2017-10-17,SHA
2017-10-17,SCS
2017-10-17,EVE
2017-10-18,SHA
2017-10-18,SCS
2017-10-18,NTC
2017-10-19,SCS
2017-10-19,SHA
2017-10-19,APC
2017-10-20,APC
2017-10-20,SCS
2017-10-20,SHA
2017-10-23,SCS
2017-10-23,SJD
2017-10-23,SBV
2017-10-24,ACV
2017-10-24,SJD
2017-10-24,SBV
2017-10-25,SJD
2017-10-25,D2D
2017-10-25,BHN
2017-10-26,SJD
2017-10-26,D2D
2017-10-26,SBV
2017-10-27,ACV
2017-10-27,SJD
2017-10-27,D2D
2017-10-30,ACV
2017-10-30,TTB
2017-10-30,SJF
2017-10-31,TTB
2017-10-31,ACV
2017-10-31,NCT
2017-11-01,ACV
2017-11-01,TTB
2017-11-01,TV2
2017-11-02,TTB
2017-11-02,TV2
2017-11-02,ACV
2017-11-03,SCS
2017-11-03,TTB
2017-11-03,ACV
2017-11-06,SCS
2017-11-06,TTB
2017-11-06,ACV
2017-11-07,TV2
2017-11-07,NCT
2017-11-07,SJF
2017-11-08,ACV
2017-11-08,D2D
2017-11-08,NCT
2017-11-09,ACV
2017-11-09,D2D
2017-11-09,TV2
2017-11-10,ACV
2017-11-10,TV2
2017-11-10,CHP
2017-11-13,D2D
2017-11-13,SJF
2017-11-13,PVT
2017-11-14,DS3
2017-11-14,PVT
2017-11-14,D2D
2017-11-15,PVT
2017-11-15,CHP
2017-11-15,D2D
2017-11-16,PVT
2017-11-16,D2D
2017-11-16,SJF
2017-11-17,D2D
2017-11-17,SSC
2017-11-17,CHP
2017-11-20,NCT
2017-11-20,D2D
2017-11-20,SSC
2017-11-21,KDH
2017-11-21,D2D
2017-11-21,SJF
2017-11-22,PVT
2017-11-22,D2D
2017-11-22,DBD
2017-11-23,DBD
2017-11-23,PVT
2017-11-23,SJF
2017-11-24,NCT
2017-11-24,SJF
2017-11-24,D2D
2017-11-27,NCT
2017-11-27,DHC
2017-11-27,BHN
2017-11-28,DHC
2017-11-28,NCT
2017-11-28,D2D
2017-11-29,DHC
2017-11-29,D2D
2017-11-29,DBD
2017-11-30,SJF
2017-11-30,DHC
2017-11-30,BHN
2017-12-01,DHC
2017-12-01,BHN
2017-12-01,D2D
2017-12-04,DHC
2017-12-04,SCS
2017-12-04,D2D
2017-12-05,SCS
2017-12-05,D2D
2017-12-05,DHC
2017-12-06,SCS
2017-12-06,D2D
2017-12-06,DHC
2017-12-07,DHC
2017-12-07,SCS
2017-12-07,D2D
2017-12-08,SJF
2017-12-08,DHC
2017-12-08,SCS
2017-12-11,MHC
2017-12-11,SJF
2017-12-11,DHC
2017-12-12,MHC
2017-12-12,SCS
2017-12-12,SJF
2017-12-13,SJF
2017-12-13,SCS
2017-12-13,TTB
2017-12-14,SJF
2017-12-14,NCT
2017-12-14,SCS
2017-12-15,NCT
2017-12-15,SJF
2017-12-15,NTC
2017-12-18,DHC
2017-12-18,NCT
2017-12-18,SJF
2017-12-19,NCT
2017-12-19,SJF
2017-12-19,DHC
2017-12-20,SJF
2017-12-20,NCT
2017-12-20,NDN
2017-12-21,NCT
2017-12-21,NDN
2017-12-21,MHC
2017-12-22,NCT
2017-12-22,NDN
2017-12-22,SCS
2017-12-25,SSN
2017-12-25,APC
2017-12-25,NDN
2017-12-26,APC
2017-12-26,NCT
2017-12-26,NDN
2017-12-27,SJF
2017-12-27,APC
2017-12-27,NCT
2017-12-28,APC
2017-12-28,NCT
2017-12-28,SCS
2017-12-29,SCS
2017-12-29,NCT
2017-12-29,SJF
2018-01-02,SCS
2018-01-02,NCT
2018-01-02,SJF
2018-01-03,NTC
2018-01-03,SCS
2018-01-03,SJF
2018-01-04,NTC
2018-01-04,SCS
2018-01-04,SJF
2018-01-05,NTC
2018-01-05,SCS
2018-01-05,SJF
2018-01-08,DHC
2018-01-08,SCS
2018-01-08,NTC
2018-01-09,NTC
2018-01-09,SCS
2018-01-09,SJF
2018-01-10,DHC
2018-01-10,SCS
2018-01-10,JVC
2018-01-11,DHC
2018-01-11,SCS
2018-01-11,SJF
2018-01-12,SCS
2018-01-12,DHC
2018-01-12,SJF
2018-01-15,DHC
2018-01-15,SCS
2018-01-15,SJF
2018-01-16,DHC
2018-01-16,NDN
2018-01-16,SJF
2018-01-17,DHC
2018-01-17,HVA
2018-01-17,NDN
2018-01-18,NDN
2018-01-18,DHC
2018-01-18,HVA
2018-01-19,DHC
2018-01-19,NDN
2018-01-19,SCS
2018-01-22,DHC
2018-01-22,NDN
2018-01-22,SCS
2018-01-23,NDN
2018-01-23,SCS
2018-01-23,TV2
2018-01-24,NDN
2018-01-24,SCS
2018-01-24,TV2
2018-01-25,NDN
2018-01-25,TRC
2018-01-25,SJF
2018-01-26,DHC
2018-01-26,LHG
2018-01-26,TRC
2018-01-29,DHC
2018-01-29,BHN
2018-01-29,SJF
2018-01-30,DHC
2018-01-30,BHN
2018-01-30,NDN
2018-01-31,DHC
2018-01-31,LHG
2018-01-31,NDN
2018-02-01,HDG
2018-02-01,LHG
2018-02-01,NDN
2018-02-02,SCS
2018-02-02,HDG
2018-02-02,LHG
2018-02-05,HDG
2018-02-05,CSV
2018-02-05,VNG
2018-02-06,HDG
2018-02-06,SCS
2018-02-07,HDG
2018-02-07,SCS
2018-02-08,HDG
2018-02-08,SCS
2018-02-09,HDG
2018-02-09,SCS
2018-02-12,HDG
2018-02-12,SCS
2018-02-13,HDG
2018-02-13,SCS
2018-02-21,SCS
2018-02-22,SCS
2018-02-22,CSV
2018-02-22,VNG
2018-02-23,SCS
2018-02-23,CSV
2018-02-23,VNG
2018-02-26,SCS
2018-02-26,CSV
2018-02-26,TVC
2018-02-27,TVC
2018-02-27,CSV
2018-02-27,SCS
2018-02-28,TVC
2018-02-28,CSV
2018-02-28,SCS
2018-03-01,SCS
2018-03-01,CSV
2018-03-02,TVC
2018-03-02,SCS
2018-03-02,CSV
2018-03-05,TVC
2018-03-05,SCS
2018-03-05,CSV
2018-03-06,SCS
2018-03-07,SCS
2018-03-07,TVC
2018-03-07,CSV
2018-03-08,SCS
2018-03-08,TVC
2018-03-08,LHG
2018-03-09,TVC
2018-03-09,SCS
2018-03-09,LHG
2018-03-12,TVC
2018-03-12,LHG
2018-03-12,SCS
2018-03-13,SCS
2018-03-13,NDN
2018-03-13,TVC
2018-03-14,NDN
2018-03-14,TVC
2018-03-14,LHG
2018-03-15,NDN
2018-03-15,LHG
2018-03-15,VE9
2018-03-16,VC3
2018-03-16,LHG
2018-03-16,TVC
2018-03-19,SCS
2018-03-19,LHG
2018-03-19,CSV
2018-03-20,TVC
2018-03-20,SCS
2018-03-21,TVC
2018-03-21,SCS
2018-03-21,LHG
2018-03-22,SCS
2018-03-22,TVC
2018-03-23,SCS
2018-03-23,TVC
2018-03-23,VE9
2018-03-26,PXL
2018-03-26,SCS
2018-03-26,TVC
2018-03-27,HLD
2018-03-27,SCS
2018-03-27,TVC
2018-03-28,PXL
2018-03-28,TVC
2018-03-29,SCS
2018-03-29,HLD
2018-03-29,PXL
2018-03-30,SCS
2018-03-30,PXL
2018-03-30,TVC
2018-04-02,TVC
2018-04-02,SCS
2018-04-02,PXL
2018-04-03,PXL
2018-04-03,TVC
2018-04-03,VPI
2018-04-04,TVC
2018-04-04,VPI
2018-04-04,PXL
2018-04-05,VPI
2018-04-05,HLD
2018-04-05,TVC
2018-04-06,SCS
2018-04-06,VPI
2018-04-06,HLD
2018-04-09,DS3
2018-04-09,D2D
2018-04-09,HLD
2018-04-10,DS3
2018-04-10,VFG
2018-04-10,TVC
2018-04-11,VFG
2018-04-11,D2D
2018-04-11,DS3
2018-04-12,VFG
2018-04-12,DS3
2018-04-12,D2D
2018-04-13,VFG
2018-04-13,HLD
2018-04-13,D2D
2018-04-16,VFG
2018-04-16,D2D
2018-04-16,HLD
2018-04-17,VFG
2018-04-17,HLD
2018-04-17,D2D
2018-04-18,VFG
2018-04-18,HLD
2018-04-18,D2D
2018-04-19,SCS
2018-04-19,HLD
2018-04-19,VFG
2018-04-20,VFG
2018-04-20,SCS
2018-04-20,HLD
2018-04-23,VFG
2018-04-23,HLD
2018-04-23,SCS
2018-04-24,VFG
2018-04-24,HLD
2018-04-24,SCS
2018-04-26,VFG
2018-04-26,HLD
2018-04-26,SCS
2018-04-27,VFG
2018-05-02,VFG
2018-05-03,VFG
2018-05-04,VFG
2018-05-07,VFG
2018-05-08,VFG
2018-05-09,VFG
2018-05-10,VFG
2018-05-11,VFG
2018-05-14,VFG
2018-05-15,VFG
2018-05-15,MST
2018-05-16,VFG
2018-05-16,MST
2018-05-17,VFG
2018-05-17,SJF
2018-05-17,MST
2018-05-18,VFG
2018-05-18,SJF
2018-05-18,PVB
2018-05-21,VFG
2018-05-22,SJF
2018-05-22,VFG
2018-05-23,VFG
2018-05-23,HCD
2018-05-24,VFG
2018-05-24,HCD
2018-05-25,VFG
2018-05-25,HCD
2018-05-28,VFG
2018-05-28,HCD
2018-05-29,HCD
2018-05-29,SJF
2018-05-30,SJF
2018-05-30,CVN
2018-05-30,HCD
2018-05-31,CVN
2018-05-31,HCD
2018-05-31,VFG
2018-06-01,CVN
2018-06-01,HCD
2018-06-04,CVN
2018-06-04,HCD
2018-06-05,CVN
2018-06-05,HCD
2018-06-06,HCD
2018-06-06,CVN
2018-06-07,CVN
2018-06-08,CVN
2018-06-11,HCD
2018-06-11,CVN
2018-06-12,CVN
2018-06-12,ITD
2018-06-13,HCD
2018-06-13,CVN
2018-06-14,HCD
2018-06-15,ITD
2018-06-15,TNI
2018-06-18,HCD
2018-06-18,TNI
2018-06-18,ITD
2018-06-19,TNI
2018-06-21,HCD
2018-06-21,TNI
2018-06-22,HCD
2018-06-25,HCD
2018-06-26,DNP
2018-06-27,DNP
2018-06-27,TNI
2018-06-28,SJD
2018-06-28,DNP
2018-06-28,TNI
2018-06-29,SJD
2018-06-29,TNI
2018-07-02,SJD
2018-07-02,TNI
2018-07-02,DNP
2018-07-03,SJD
2018-07-03,TNI
2018-07-04,SJD
2018-07-04,TNI
2018-07-05,SJD
2018-07-10,SJD
2018-07-10,TVC
2018-07-11,SJD
2018-07-11,TVC
2018-07-12,SJD
2018-07-13,SJD
2018-07-13,GKM
2018-07-16,GKM
2018-07-16,SJD
2018-07-17,GKM
2018-07-17,SJD
2018-07-18,GKM
2018-07-18,SJD
2018-07-19,SJD
2018-07-19,GKM
2018-07-20,SJD
2018-07-20,GKM
2018-07-23,SJD
2018-07-23,GKM
2018-07-23,MST
2018-07-24,SJD
2018-07-24,GKM
2018-07-24,MST
2018-07-25,GKM
2018-07-25,MST
2018-07-25,SJD
2018-07-26,HCD
2018-07-26,GKM
2018-07-26,VNG
2018-07-27,GKM
2018-07-27,HCD
2018-07-27,VNG
2018-07-30,HCD
2018-07-30,VNG
2018-07-30,GKM
2018-07-31,GKM
2018-07-31,HCD
2018-07-31,MBG
2018-08-01,VNG
2018-08-01,HCD
2018-08-01,GKM
2018-08-02,DGC
2018-08-02,VNG
2018-08-02,GKM
2018-08-03,HCD
2018-08-03,DGC
2018-08-03,VNG
2018-08-06,HCD
2018-08-06,GKM
2018-08-06,DGC
2018-08-07,GKM
2018-08-07,HCD
2018-08-07,DGC
2018-08-08,GKM
2018-08-08,DGC
2018-08-08,MBG
2018-08-09,GKM
2018-08-09,DGC
2018-08-09,MBG
2018-08-10,GKM
2018-08-10,MBG
2018-08-10,VSC
2018-08-13,GKM
2018-08-13,MBG
2018-08-13,DGC
2018-08-14,DGC
2018-08-14,GKM
2018-08-14,MBG
2018-08-15,GKM
2018-08-15,DGC
2018-08-15,VSC
2018-08-16,DGC
2018-08-16,GKM
2018-08-16,VSC
2018-08-17,NNC
