date,tickersymbol
2019-01-02,ISH
2019-01-02,TSJ
2019-01-02,SVT
2019-01-03,ISH
2019-01-03,TSJ
2019-01-03,SVT
2019-01-04,DNH
2019-01-04,TSJ
2019-01-04,HHC
2019-01-07,DNH
2019-01-07,TSJ
2019-01-07,HHC
2019-01-08,DNH
2019-01-08,TSJ
2019-01-08,SVT
2019-01-09,DNH
2019-01-09,TSJ
2019-01-09,SVT
2019-01-10,DNH
2019-01-10,SGS
2019-01-10,TSJ
2019-01-11,DNH
2019-01-11,TSJ
2019-01-11,HHC
2019-01-14,TSJ
2019-01-14,HPW
2019-01-14,HHC
2019-01-15,TSJ
2019-01-15,HHC
2019-01-15,SGS
2019-01-16,TSJ
2019-01-16,HHC
2019-01-16,SGS
2019-01-17,SGS
2019-01-17,TSJ
2019-01-17,HHC
2019-01-18,SGS
2019-01-18,TSJ
2019-01-18,MCH
2019-01-21,TSJ
2019-01-21,MCH
2019-01-21,TTD
2019-01-22,TSJ
2019-01-22,MCH
2019-01-22,CMG
2019-01-23,MCH
2019-01-23,TTD
2019-01-23,SGD
2019-01-24,CMG
2019-01-24,ECI
2019-01-24,VNG
2019-01-25,DNH
2019-01-25,MCH
2019-01-25,VNG
2019-01-28,DNH
2019-01-28,MCH
2019-01-28,BED
2019-01-29,MCH
2019-01-29,BED
2019-01-29,DNH
2019-01-30,MCH
2019-01-30,BED
2019-01-30,DNH
2019-01-31,MCH
2019-01-31,BED
2019-01-31,TTT
2019-02-01,EIC
2019-02-01,FDC
2019-02-01,MCH
2019-02-11,C21
2019-02-11,EIC
2019-02-11,FDC
2019-02-12,C21
2019-02-12,EIC
2019-02-12,FDC
2019-02-13,CMG
2019-02-13,EIC
2019-02-13,FDC
2019-02-14,VNG
2019-02-14,CMG
2019-02-14,GEG
2019-02-15,EIC
2019-02-15,CHP
2019-02-15,GEG
2019-02-18,EIC
2019-02-18,CHP
2019-02-18,GEG
2019-02-19,CMG
2019-02-19,HUG
2019-02-19,CHP
2019-02-20,VNG
2019-02-20,CMG
2019-02-20,HUG
2019-02-21,CMG
2019-02-21,HUG
2019-02-21,VNG
2019-02-22,HUG
2019-02-22,AMC
