date,tickersymbol
2019-01-02,MCH
2019-02-18,HT1
2019-02-19,HT1
2019-02-20,DPR
2019-02-21,DPR
2019-02-22,DPR
2019-02-25,DPR
2019-02-26,DPR
2019-02-27,DPR
2019-02-28,DPR
2019-03-01,DPR
2019-03-04,DPR
2019-03-07,DPR
2019-03-18,HVH
2019-03-19,HVH
2019-03-20,HVH
2019-03-21,HVH
2019-03-22,HVH
2019-03-25,HVH
2019-03-29,GVR
2019-04-03,HVH
2019-04-04,HVH
2019-04-05,HVH
2019-04-08,HVH
2019-04-09,HVH
2019-04-10,HVH
2019-04-17,HVH
2019-04-19,HVH
2019-04-22,HVH
2019-04-23,HVH
2019-04-24,HVH
2019-04-25,HVH
2019-04-26,HVH
2019-05-02,HVH
2019-05-03,HVH
2019-05-08,TDM
2019-06-11,TDM
2019-06-12,TDM
2019-06-12,CMG
2019-06-24,CMG
2019-06-25,CMG
2019-06-26,CMG
2019-07-18,CMG
2019-08-09,HAH
2019-09-05,DVP
2019-09-06,DVP
2019-10-25,AST
2019-10-28,AST
2019-10-29,AST
2019-10-30,AST
2019-11-04,VPG
2019-11-05,VPG
2019-11-06,VPG
2019-12-06,AMV
2019-12-06,DPR
2019-12-09,AMV
2019-12-09,DPR
2020-01-02,GAB
2020-04-21,LIX
2020-05-07,DGC
2020-05-08,DGC
2020-05-11,DGC
2020-05-13,VSC
2020-05-14,VSC
2020-05-18,VSC
2020-05-27,VSC
2020-05-28,VSC
2020-06-10,TDM
2020-06-11,TDM
2020-06-16,SCS
2020-06-17,SCS
2020-06-22,SCS
2020-06-22,VSC
2020-06-24,VSC
2020-07-06,VNG
2020-07-06,TDM
2020-07-07,VNG
2020-07-07,TDM
2020-07-08,VNG
2020-07-08,TDM
2020-07-08,NTC
2020-07-09,VNG
2020-07-09,NTC
2020-07-10,VNG
2020-07-10,NTC
2020-07-17,VNG
2020-07-21,VNG
2020-07-22,VNG
2020-07-23,VNG
2020-08-07,MCH
2020-08-11,GIL
2020-08-12,NTC
2020-08-13,NTC
2020-08-14,NTC
2020-08-17,NTC
2020-08-18,NTC
2020-08-19,NTC
2020-08-24,DTD
2020-08-26,DTD
2020-08-27,DTD
2020-08-28,DTD
2020-08-31,DTD
2020-09-01,DTD
2020-09-03,DTD
2020-09-04,DTD
2020-09-09,SRA
2020-09-10,SRA
2020-09-11,SRA
2020-09-14,SRA
2020-09-21,HAH
2020-09-24,SRA
2020-09-25,SRA
2020-09-28,SRA
2020-10-12,HAH
2020-10-15,NTC
2020-10-20,DTD
2020-10-20,DXP
2020-10-21,DXP
2020-10-22,DTD
2020-10-23,DTD
2020-10-23,DXP
2020-10-26,DTD
2020-10-30,SRA
2020-11-02,SRA
2020-11-03,SRA
2020-11-05,NTC
2020-11-10,IDC
2020-11-12,IDC
2020-11-13,IDC
2020-11-16,IDC
2020-11-17,IDC
2020-11-18,IDC
